﻿﻿card_id;name;name_slug;description;ability;cost;strength;type;type_slug;rarity;rarity_slug;is_unique;race;race_slug;image_url;illustrator;edition_id;created_at;updated_at
15377;dragon de magma;dragon_de_magma_legendaria;;Cuando Dragón de Magma entra en juego, destruye un Aliado oponente. ;4;3;Aliado;aliado;Legendaria;legendaria;false;Dragón;dragon;https://api.myl.cl/static/cards/93/006.png;;93.0;2024-08-20 08:20:47.933 -0400;2024-08-20 08:20:47.933 -0400
15378;morgana;morgana_legendaria;;Solo puedes tener una Morgana en juego. En tu fase de vigilia y una vez por turno, puedes destruir uno de tus aliados para desterrar un aliado oponente. ;4;2;Aliado;aliado;Legendaria;legendaria;false;Faerie;faerie;https://api.myl.cl/static/cards/93/007.png;;93.0;2024-08-20 08:20:47.934 -0400;2024-08-20 08:20:47.934 -0400
15383;sir persival carta texturizada;sir_persival_(carta_texturizada);Si lo ves a los ojos verás mil historias contadas a la luz de una fogata y el amor por una sola cosa: La Caballería.;Cuando Sir Pérsival entra en juego, baraja un Aliado oponente. ;3;2;Aliado;aliado;Mega Real;mega-real;false;Caballero;caballero;https://api.myl.cl/static/cards/93/012.png;;93.0;2024-08-20 08:20:47.934 -0400;2024-08-20 08:20:47.934 -0400
15391;cathach carta texturizada;cathach_(carta_texturizada);Depredador de la tierra y el mar, el terror encarnado. Pero la amenaza más grande no estaba en su poderosa cola o en sus temibles dientes, sino en su capacidad de hacer hervir el mar en torno suyo.;Cuando Catach entra en juego, puedes barajar 2 cartas de tu Cementerio en tu Mazo Castillo. Los Aliados oponentes pierde 1 a la fuerza mientras sólo controles Aliados de raza Dragón.;3;2;Aliado;aliado;Mega Real;mega-real;false;Dragón;dragon;https://api.myl.cl/static/cards/93/020.png;;93.0;2024-08-20 08:20:47.935 -0400;2024-08-20 08:20:47.935 -0400
15395;fe sin limite carta texturizada;fe_sin_limite_(carta_texturizada);El aire era extraño, y los pasos del dragón estaban cerca. Pero el no temía, jamás vaciló;;;;;;;;;;;;;;;
15399;mercaderes carta texturizada;mercaderes_(carta_texturizada);De Venecia a los reinos del emperador de mandarín, ellos son los amos y señores de las rutas comerciales.;En respuesta a la Declaración de Ataque oponente, puedes mover a Mercaderes a tu Línea de Defensa, y considéralo como un Aliado bloqueador de fuerza 3. En tu Fase Final, Destrúyelo. Si no es destruido vuelve a la Zona de Oro de la cual fue movido.;0;;Oro;oro;Mega Real;mega-real;false;Sin Raza;noraza;https://api.myl.cl/static/cards/93/028.png;;93.0;2024-08-20 08:20:47.936 -0400;2024-08-20 08:20:47.936 -0400
15404;guardia gososa;guardia_gososa;Lancelot conquistaría a las fuerzas oscuras de la guardia dolorosa, que se convertiría en su propio hogar y rebautizaría como de la Guardia Gozosa.;Cuando Guardia Gozosa entra en juego, un Aliado oponente pierde su habilidad y es destruido. Puedes destruir Guardia Gozosa para barajar una carta de tu Cementerio en tu Mazo Castillo.;3;;Tótem;totem;Real;real;false;Sin Raza;noraza;https://api.myl.cl/static/cards/93/033.png;;93.0;2024-08-20 08:20:47.936 -0400;2024-08-20 08:20:47.936 -0400
15409;rey arturo pendragon;rey_arturo_pendragon;Un rey, una espada, una corona y el destino de la humanidad sobre sus hombros.;Solo puedes tener en juego a un Rey Arturo Pendragón. Mientras esté en juego, tus Caballeros ganan + 1 a la fuerza y tu oponente bota 2 cartas en cada fase de agrupación. En respuesta a que sea destruido, puedes descartar 2 para salvarlo. ;5;2;Aliado;aliado;Real;real;false;Caballero;caballero;https://api.myl.cl/static/cards/93/038.png;;93.0;2024-08-20 08:20:47.936 -0400;2024-08-20 08:20:47.936 -0400
15413;sir persival;sir_persival;El manco caballero se prepara la batalla, sin saber si volverá a ver el amanecer.;Mientras Sir Bedivere esté en juego, en tu fase de vigilia y una vez por turno, puedes nombrar un Aliado, si tu oponente lo tiene en su mano, lo bajas a tu línea de defensa sin pagar su coste. Se considera uno de tus Aliados hasta el final del juego. ;4;2;Aliado;aliado;Real;real;false;Caballero;caballero;https://api.myl.cl/static/cards/93/042.png;;93.0;2024-08-20 08:20:47.936 -0400;2024-08-20 08:20:47.936 -0400
15417;dragon de luz;dragon_de_luz;El rugido dolorido de una criatura lastimada se escuchó en los cielos, entonces todos supieron que el fin estaba cerca.;Cuando Dragón Nube entra en juego, puedes elegir entre robar 2 cartas o que tu oponente bote 2. ;4;3;Aliado;aliado;Real;real;false;Dragón;dragon;https://api.myl.cl/static/cards/93/046.png;;93.0;2024-08-20 08:20:47.937 -0400;2024-08-20 08:20:47.937 -0400
15432;sir balin;sir_balin;Conocido como el salvaje, dueño de dos invencibles espadas. Los viejos textos lo señalaban como el campeón de Northumberland, moralmente hablando, el caballero más valeroso del norte inglés.;No tiene límite de Armas. Este Aliado sólo puede atacar si controlas una o más Armas. Si hace daño al Mazo Castillo oponente, roba una carta.;3;4;Aliado;aliado;Real;real;false;Caballero;caballero;https://api.myl.cl/static/cards/93/061.png;;93.0;2024-08-20 08:20:47.939 -0400;2024-08-20 08:20:47.939 -0400
15437;federico barbarroja;federico_barbarroja;Del Sacro imperio Romano Germánico. Hasta las ardientes arenas del desierto, sólo su nombre ruge en el cielo.;No tiene límite de Armas. Si hace daño al mazo castillo oponente, puedes buscar un Aliado de su misma fuerza en tu mazo castillo y ponerlo en tu línea de defensa.;4;1;Aliado;aliado;Real;real;false;Caballero;caballero;https://api.myl.cl/static/cards/93/066.png;;93.0;2024-08-20 08:20:47.939 -0400;2024-08-20 08:20:47.939 -0400
15442;dragon de plata;dragon_de_plata;No esta interesada en la guerra con los humanos, es la justicia lo que le importa. Y quizás también un humano, cuyo nombre ni siquiera se atreve a pronunciar.;Mientras Dragón de Plata esté en juego: en tu fase de vigilia, puedes elegir entre pagar 1 de oro para robar 1 carta;;;;;;;;;;;;;;
16427;morgana;morgana;;;;;Aliado;aliado;Mega Real;mega-real;false;;;https://api.myl.cl/static/cards/116/036.png;;116.0;2024-08-20 08:22:08.180 -0400;2024-08-20 08:22:08.180 -0400
16431;desleal;¡desleal!;;;;;Talismán;talisman;Mega Real;mega-real;false;;;https://api.myl.cl/static/cards/116/040.png;;116.0;2024-08-20 08:22:08.180 -0400;2024-08-20 08:22:08.180 -0400
15372;fe sin limite;fe_sin_limite_secreta;;Anula un Talismán.;1;;Talismán;talisman;Secreta;secreta;false;Sin Raza;noraza;https://api.myl.cl/static/cards/93/001.png;;93.0;2024-08-20 08:20:47.932 -0400;2024-08-20 08:20:47.932 -0400
15380;corona de arturo;corona_de_arturo_legendaria;;Mientras controles 2 o más Aliados, los Oros son indestructibles. Si Corona de Arturo está en tu Cementerio, puedes desterrarla para robar 1 carta de tu Mazo Castillo.;0;;Oro;oro;Legendaria;legendaria;false;Sin Raza;noraza;https://api.myl.cl/static/cards/93/009.png;;93.0;2024-08-20 08:20:47.934 -0400;2024-08-20 08:20:47.934 -0400
